line_1,506,88136,35394
line_1,607,114628,195028
line_1,708,259282,483162
line_1,809,384892,1165703
line_1,910,315797,791704
line_1,1011,340972,585759
line_1,1112,411897,570545
line_1,1213,471989,577067
line_1,1314,558377,625046
line_1,1415,589343,614026
line_1,1516,648960,562101
line_1,1617,721442,534743
line_1,1718,791417,538330
line_1,1819,1044776,614387
line_1,1920,810482,536975
line_1,2021,608066,332645
line_1,2122,647624,256063
line_1,2223,576958,218944
line_1,2324,260729,143872
line_1,2401,21167,49352
