line_4,506,244178,39220
line_4,607,555232,349259
line_4,708,1478641,810309
line_4,809,1666148,1874381
line_4,910,1080607,1400291
line_4,1011,845377,996974
line_4,1112,853473,932328
line_4,1213,921995,969866
line_4,1314,1010356,1044774
line_4,1415,1021972,1078274
line_4,1516,1099173,1082843
line_4,1617,1208057,1114499
line_4,1718,1405470,1272524
line_4,1819,1705617,1590516
line_4,1920,1282398,1615932
line_4,2021,1034818,1122216
line_4,2122,1001286,945111
line_4,2223,925633,908488
line_4,2324,452658,662564
line_4,2401,57970,211697
