line_3,506,149909,32401
line_3,607,344768,367128
line_3,708,1008133,860319
line_3,809,1301035,1965442
line_3,910,843939,1397623
line_3,1011,688982,893435
line_3,1112,719544,792088
line_3,1213,788290,787853
line_3,1314,870152,855295
line_3,1415,874658,864679
line_3,1516,952321,870808
line_3,1617,1050130,910555
line_3,1718,1212098,1010369
line_3,1819,1656305,1221641
line_3,1920,1227847,1152751
line_3,2021,913682,762787
line_3,2122,842636,642464
line_3,2223,717158,614223
line_3,2324,288744,420273
line_3,2401,33938,133203
